OTU ID	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30
OTU_270	6560.0	1415.0	975.0	7140.0	4201.0	7030.0	8724.0	6085.0	8641.0	10264.0	6577.0	13325.0	3323.0	7429.0	9812.0	11815.0	8703.0	5556.0	4025.0	2151.0	3767.0	2456.0	3988.0	4000.0	299.0	83.0	115.0	1676.0	2246.0	346.0
OTU_560	27185.0	30224.0	24903.0	29466.0	23211.0	30423.0	8796.0	10293.0	12440.0	8228.0	5471.0	8445.0	9402.0	19439.0	15625.0	16030.0	13818.0	17215.0	20584.0	30612.0	30307.0	27848.0	23104.0	14460.0	2107.0	1035.0	612.0	1864.0	3412.0	481.0
OTU_473	1076.0	757.0	282.0	337.0	1417.0	309.0	1646.0	575.0	1067.0	4352.0	998.0	1484.0	466.0	815.0	246.0	340.0	384.0	251.0	96.0	2684.0	559.0	0.0	729.0	856.0	2921.0	2665.0	7297.0	6876.0	5865.0	986.0
OTU_237	65.0	49.0	24.0	40.0	52.0	141.0	0.0	25.0	38.0	62.0	20.0	15.0	15.0	35.0	9.0	43.0	2.0	37.0	3.0	10.0	32.0	134.0	9.0	0.0	41.0	3.0	2.0	0.0	10.0	16.0
OTU_441	1333.0	678.0	1559.0	820.0	1198.0	444.0	608.0	330.0	159.0	73.0	163.0	609.0	276.0	679.0	797.0	285.0	646.0	107.0	1304.0	10.0	475.0	112.0	365.0	1530.0	141.0	109.0	1.0	4.0	31.0	34.0
OTU_130	445.0	825.0	509.0	264.0	255.0	512.0	692.0	936.0	1419.0	2342.0	2696.0	1446.0	668.0	738.0	1659.0	481.0	606.0	262.0	429.0	251.0	252.0	289.0	194.0	733.0	427.0	573.0	672.0	150.0	2451.0	859.0
OTU_168	8081.0	1692.0	4225.0	7291.0	5875.0	3842.0	2370.0	2409.0	647.0	402.0	1642.0	2357.0	3258.0	5312.0	8557.0	9096.0	5811.0	7483.0	3583.0	1961.0	2753.0	2374.0	6093.0	11043.0	897.0	2207.0	238.0	28.0	1137.0	599.0
OTU_2436	83.0	96.0	197.0	34.0	120.0	80.0	41.0	39.0	54.0	58.0	33.0	22.0	11.0	12.0	15.0	6.0	12.0	2.0	30.0	2.0	123.0	3.0	3.0	222.0	330.0	197.0	199.0	63.0	199.0	128.0
OTU_330	88.0	59.0	75.0	0.0	6.0	1.0	2.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	81.0	24.0	0.0	0.0
OTU_331	2137.0	610.0	1156.0	2982.0	1761.0	1257.0	495.0	678.0	244.0	198.0	967.0	1039.0	804.0	873.0	2966.0	925.0	1036.0	1055.0	658.0	225.0	324.0	286.0	401.0	659.0	259.0	289.0	15.0	5.0	151.0	169.0
OTU_621	648.0	406.0	307.0	316.0	245.0	157.0	90.0	217.0	213.0	387.0	91.0	297.0	87.0	67.0	133.0	184.0	129.0	0.0	0.0	2.0	165.0	0.0	660.0	430.0	13.0	106.0	0.0	199.0	224.0	0.0
OTU_489	25.0	1.0	58.0	3.0	35.0	14.0	0.0	5.0	2.0	4.0	5153.0	6.0	70.0	68.0	40.0	5.0	5.0	0.0	98.0	2.0	90.0	7.0	0.0	116.0	12.0	91.0	12.0	0.0	0.0	0.0
OTU_746	42.0	15.0	113.0	6.0	76.0	76.0	0.0	2.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	15.0	69.0	0.0	0.0	0.0
OTU_576	138.0	1.0	325.0	10.0	100.0	32.0	138.0	22.0	539.0	571.0	151.0	89.0	521.0	23.0	9.0	193.0	23.0	146.0	136.0	351.0	16.0	109.0	146.0	283.0	9.0	751.0	246.0	16.0	942.0	47.0
OTU_517	11.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
OTU_617	268.0	281.0	706.0	267.0	188.0	231.0	372.0	691.0	340.0	235.0	267.0	287.0	81.0	132.0	32.0	2.0	7.0	285.0	4.0	0.0	2.0	6.0	31.0	0.0	2219.0	1674.0	3428.0	459.0	1994.0	49.0
OTU_661	161.0	53.0	368.0	38.0	160.0	155.0	17.0	11.0	5.0	0.0	14.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	29.0	0.0	0.0	0.0
OTU_616	644.0	1426.0	1515.0	328.0	266.0	658.0	594.0	1107.0	689.0	389.0	997.0	666.0	448.0	543.0	890.0	465.0	619.0	252.0	245.0	378.0	257.0	462.0	357.0	322.0	345.0	267.0	127.0	59.0	467.0	9.0
OTU_915	63.0	82.0	11.0	20.0	1.0	1.0	3.0	13.0	5.0	0.0	0.0	5.0	34.0	2.0	2.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	44.0	0.0	24.0	0.0
OTU_649	286.0	1003.0	508.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0
OTU_860	43.0	16.0	7.0	18.0	18.0	44.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	21.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	38.0	9.0	0.0	22.0	0.0
