OTU ID	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30
OTU_1067	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_670	533.0	630.0	436.0	185.0	465.0	640.0	518.0	161.0	383.0	494.0	48.0	91.0	183.0	179.0	183.0	205.0	73.0	206.0	150.0	381.0	54.0	15.0	56.0	263.0	811.0	487.0	437.0	76.0	518.0	188.0
OTU_891	36.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	8.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	28.0	0.0	47.0	2.0	0.0
OTU_2233	95.0	30.0	21.0	4.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	46.0	17.0	0.0	0.0	0.0	0.0
OTU_187	23.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	14.0	45.0	5.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	15.0	49.0	6.0	54.0	4.0	0.0
OTU_490	567.0	1102.0	1673.0	509.0	668.0	1396.0	1641.0	879.0	1800.0	1916.0	3230.0	2168.0	707.0	906.0	957.0	739.0	825.0	188.0	1098.0	247.0	354.0	1503.0	1087.0	113.0	972.0	1728.0	1637.0	507.0	2099.0	1224.0
OTU_755	5.0	0.0	0.0	8.0	0.0	9.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	6.0	19.0	6.0	0.0	0.0	1.0	0.0	0.0	179.0	13.0	0.0	36.0	37.0	0.0	2.0	25.0	0.0
OTU_1549	597.0	199.0	365.0	689.0	548.0	330.0	219.0	207.0	69.0	43.0	171.0	222.0	243.0	393.0	641.0	610.0	441.0	579.0	290.0	128.0	215.0	184.0	458.0	1021.0	88.0	150.0	18.0	2.0	102.0	49.0
OTU_658	156.0	3.0	0.0	65.0	86.0	81.0	1.0	23.0	1.0	1.0	11.0	0.0	443.0	0.0	0.0	155.0	0.0	101.0	178.0	0.0	74.0	24.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
OTU_1007	15.0	1.0	20.0	2.0	6.0	12.0	0.0	0.0	3.0	0.0	0.0	11.0	11.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
OTU_2386	1.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU_272	145.0	26.0	91.0	1.0	0.0	22.0	83.0	81.0	132.0	55.0	116.0	222.0	151.0	145.0	30.0	12.0	12.0	162.0	0.0	2.0	208.0	2.0	322.0	1.0	19.0	16.0	116.0	0.0	13.0	96.0
OTU_173	519.0	448.0	673.0	92.0	446.0	95.0	654.0	449.0	352.0	584.0	177.0	272.0	259.0	194.0	132.0	56.0	1176.0	5.0	9.0	7.0	54.0	312.0	203.0	59.0	26297.0	10871.0	14866.0	6275.0	10974.0	4192.0
OTU_599	241.0	239.0	403.0	192.0	184.0	172.0	950.0	950.0	500.0	592.0	135.0	119.0	285.0	749.0	434.0	829.0	243.0	477.0	119.0	1271.0	174.0	333.0	610.0	269.0	2510.0	2362.0	1260.0	160.0	1017.0	2691.0
OTU_624	258.0	85.0	131.0	107.0	59.0	103.0	617.0	181.0	529.0	490.0	344.0	389.0	165.0	117.0	185.0	40.0	83.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0
OTU_2016	261.0	383.0	277.0	198.0	237.0	179.0	235.0	175.0	146.0	50.0	40.0	196.0	63.0	118.0	46.0	139.0	63.0	346.0	174.0	49.0	185.0	9.0	278.0	40.0	50.0	14.0	39.0	16.0	46.0	0.0
OTU_688	113.0	73.0	201.0	38.0	12.0	1.0	196.0	0.0	122.0	0.0	0.0	2.0	2.0	0.0	3.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	30.0	218.0	0.0	33.0	0.0	0.0	0.0	8.0
OTU_615	233.0	115.0	35.0	117.0	3143.0	287.0	1031.0	273.0	3731.0	242.0	81.0	427.0	226.0	32.0	62.0	122.0	153.0	213.0	235.0	1.0	9.0	217.0	58.0	6.0	927.0	25.0	600.0	445.0	576.0	3966.0
OTU_322	39.0	0.0	34.0	1.0	0.0	11.0	20.0	0.0	465.0	0.0	35.0	49.0	44.0	0.0	14.0	0.0	0.0	16.0	0.0	0.0	11.0	228.0	0.0	0.0	201.0	65.0	131.0	2.0	17.0	128.0
OTU_562	768.0	1419.0	1520.0	852.0	554.0	819.0	1596.0	1302.0	2069.0	1756.0	1117.0	1466.0	897.0	1046.0	738.0	626.0	891.0	397.0	637.0	353.0	144.0	110.0	539.0	1216.0	120.0	124.0	173.0	581.0	1452.0	147.0
OTU_437	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	17.0	0.0	1.0	0.0	0.0	0.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	1.0	186.0	2.0	2.0
OTU_622	99.0	152.0	74.0	130.0	231.0	153.0	286.0	493.0	414.0	313.0	401.0	438.0	244.0	308.0	641.0	141.0	74.0	164.0	47.0	0.0	55.0	3.0	47.0	0.0	2.0	9.0	3.0	1.0	61.0	0.0
OTU_859	22.0	10.0	44.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_2493	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_1736	37.0	72.0	29.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	3.0	0.0	5.0	0.0
OTU_930	114.0	8.0	1.0	2.0	0.0	0.0	16.0	0.0	7.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	89.0	0.0	0.0	19.0	0.0	25.0	0.0	0.0	3.0	17.0	0.0	0.0	0.0
OTU_567	263.0	260.0	184.0	424.0	773.0	557.0	1661.0	1332.0	868.0	523.0	632.0	714.0	744.0	1204.0	655.0	848.0	479.0	107.0	13.0	0.0	249.0	12.0	339.0	251.0	72.0	55.0	58.0	268.0	518.0	3.0
OTU_2335	272.0	3.0	34.0	0.0	0.0	0.0	10.0	40.0	0.0	0.0	0.0	51.0	0.0	44.0	15.0	0.0	0.0	79.0	0.0	1.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_482	4.0	0.0	0.0	2.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
OTU_440	10.0	5.0	3.0	19.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	9.0	22.0	0.0	0.0	608.0	0.0	29.0	4.0	26.0	0.0	8.0	13.0	0.0	390.0	221.0	0.0
OTU_674	59.0	27.0	1.0	3.0	1.0	76.0	34.0	31.0	6.0	109.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	13.0	101.0	125.0	204.0	158.0	1.0	72.0	0.0
OTU_1510	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_759	53.0	194.0	129.0	11.0	83.0	3.0	52.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	22.0	191.0	23.0	103.0	16.0	4.0
OTU_1642	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
OTU_657	68.0	77.0	872.0	228.0	74.0	119.0	2.0	0.0	0.0	0.0	0.0	0.0	141.0	33.0	7.0	3.0	2.0	0.0	348.0	0.0	9.0	16.0	322.0	133.0	4.0	74.0	0.0	5.0	65.0	0.0
OTU_672	81.0	10.0	96.0	48.0	136.0	1.0	55.0	0.0	0.0	0.0	54.0	0.0	318.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	496.0	0.0	0.0	0.0	0.0
OTU_1016	23.0	13.0	34.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0
OTU_2206	22.0	0.0	0.0	13.0	3.0	2.0	13.0	2.0	0.0	2.0	8.0	5.0	10.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	48.0	8.0	0.0	4.0	0.0
OTU_423	36.0	10.0	151.0	34.0	1.0	104.0	38.0	10.0	5.0	1.0	31.0	33.0	20.0	13.0	19.0	22.0	27.0	0.0	5.0	323.0	167.0	15.0	40.0	4.0	7.0	10.0	8.0	4.0	8.0	0.0
OTU_1212	8.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_128	25.0	168.0	0.0	5.0	0.0	2.0	3.0	0.0	6.0	2.0	29.0	3.0	0.0	0.0	1.0	36.0	23.0	351.0	57.0	0.0	0.0	422.0	26.0	76.0	344.0	684.0	311.0	322.0	683.0	282.0
OTU_708	67.0	38.0	0.0	4.0	38.0	104.0	34.0	50.0	43.0	12.0	20.0	54.0	8.0	19.0	82.0	0.0	18.0	9.0	0.0	456.0	0.0	0.0	16.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_605	4.0	7.0	10.0	6.0	5.0	4.0	37.0	5.0	30.0	14.0	87.0	49.0	8.0	6.0	11.0	17.0	2.0	2.0	35.0	1.0	10.0	11.0	24.0	0.0	8.0	20.0	13.0	9.0	48.0	27.0
OTU_795	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	590.0	17.0	5.0	0.0	0.0
OTU_623	25.0	0.0	255.0	30.0	35.0	26.0	88.0	32.0	3.0	1434.0	1.0	3.0	815.0	1583.0	3.0	0.0	0.0	27.0	0.0	0.0	23.0	15.0	0.0	0.0	0.0	110.0	0.0	0.0	296.0	0.0
OTU_2267	1.0	0.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_1030	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
OTU_728	42.0	6.0	6.0	27.0	56.0	69.0	0.0	1.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	75.0	0.0	6.0	0.0	0.0	0.0	187.0	4.0	0.0	0.0	69.0	68.0	0.0	0.0	0.0
OTU_1914	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_630	45.0	299.0	182.0	696.0	134.0	96.0	0.0	6.0	0.0	0.0	0.0	139.0	1.0	354.0	44.0	7.0	519.0	124.0	0.0	0.0	16.0	5.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_650	23.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	105.0	396.0	64.0	223.0	31.0	22.0	43.0	52.0	197.0	37.0	12.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	1.0	67.0	0.0
OTU_905	59.0	1.0	0.0	9.0	0.0	16.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_634	10.0	0.0	0.0	0.0	10.0	38.0	16.0	0.0	7.0	6.0	78.0	0.0	82.0	66.0	3.0	0.0	0.0	0.0	46.0	715.0	1510.0	14.0	0.0	417.0	0.0	1.0	16.0	0.0	0.0	170.0
OTU_72	153.0	59.0	44.0	318.0	608.0	251.0	130.0	100.0	149.0	108.0	153.0	18.0	475.0	83.0	2.0	724.0	87.0	262.0	108.0	0.0	124.0	234.0	231.0	2.0	2.0	33.0	24.0	15.0	26.0	0.0
OTU_383	45.0	96.0	126.0	20.0	91.0	47.0	116.0	48.0	78.0	48.0	76.0	43.0	31.0	23.0	8.0	6.0	18.0	17.0	6.0	0.0	64.0	15.0	19.0	0.0	109.0	148.0	108.0	30.0	163.0	27.0
OTU_614	29.0	68.0	50.0	31.0	22.0	16.0	189.0	124.0	77.0	56.0	57.0	14.0	34.0	98.0	67.0	72.0	52.0	96.0	36.0	243.0	17.0	43.0	78.0	41.0	505.0	265.0	192.0	89.0	200.0	92.0
OTU_873	39.0	8.0	18.0	38.0	18.0	62.0	7.0	11.0	0.0	7.0	6.0	0.0	14.0	7.0	0.0	10.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	92.0	104.0	0.0	8.0	0.0
OTU_1381	12.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	4.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU_1946	18.0	34.0	1.0	3.0	25.0	0.0	6.0	4.0	31.0	56.0	0.0	3.0	1.0	18.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	17.0	33.0	151.0	15.0	46.0	0.0
OTU_715	29.0	7.0	153.0	49.0	12.0	46.0	0.0	2.0	2.0	0.0	1.0	7.0	21.0	2.0	0.0	96.0	15.0	40.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	1.0	0.0
OTU_196	36.0	29.0	35.0	54.0	64.0	107.0	87.0	22.0	6.0	0.0	42.0	50.0	14.0	7.0	42.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	16.0	63.0	177.0	0.0	31.0	37.0
OTU_1156	76.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_666	45.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	19.0	22.0	131.0	23.0	0.0	0.0	2.0	463.0	37.0	24.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	2.0	189.0
OTU_1207	15.0	1.0	9.0	0.0	8.0	17.0	10.0	0.0	18.0	0.0	96.0	23.0	16.0	10.0	5.0	0.0	0.0	44.0	9.0	0.0	4.0	1.0	0.0	0.0	0.0	21.0	0.0	0.0	38.0	0.0
OTU_936	23.0	15.0	0.0	3.0	5.0	0.0	3.0	0.0	23.0	11.0	0.0	9.0	0.0	0.0	6.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_902	20.0	16.0	63.0	10.0	25.0	10.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	2.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0
OTU_741	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	347.0	0.0
OTU_703	51.0	22.0	15.0	209.0	50.0	31.0	14.0	37.0	9.0	43.0	76.0	88.0	99.0	0.0	0.0	0.0	21.0	4.0	45.0	0.0	81.0	0.0	5.0	1.0	2.0	81.0	170.0	0.0	16.0	0.0
OTU_671	44.0	23.0	0.0	11.0	107.0	161.0	19.0	88.0	53.0	0.0	10.0	37.0	22.0	119.0	27.0	2.0	56.0	12.0	22.0	0.0	228.0	80.0	2.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0
OTU_635	19.0	0.0	0.0	78.0	527.0	3.0	3.0	13.0	7.0	45.0	236.0	349.0	12.0	74.0	58.0	150.0	43.0	40.0	21.0	0.0	257.0	2.0	187.0	0.0	0.0	0.0	0.0	55.0	8.0	0.0
OTU_1330	11.0	0.0	1.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0
OTU_2136	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_738	59.0	30.0	0.0	2.0	39.0	3.0	13.0	54.0	37.0	3.0	41.0	50.0	45.0	51.0	75.0	33.0	24.0	5.0	9.0	10.0	7.0	0.0	4.0	0.0	0.0	4.0	0.0	6.0	3.0	0.0
OTU_1404	26.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_726	5.0	7.0	2.0	6.0	0.0	0.0	55.0	85.0	230.0	1.0	2.0	20.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	22.0	17.0	0.0
OTU_2194	25.0	0.0	0.0	2.0	20.0	9.0	25.0	18.0	3.0	1.0	8.0	73.0	13.0	6.0	26.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	70.0	31.0	8.0	5.0	5.0	178.0
OTU_1153	98.0	51.0	27.0	2.0	14.0	74.0	71.0	135.0	2.0	181.0	3.0	13.0	33.0	7.0	30.0	1.0	0.0	3.0	0.0	0.0	1.0	8.0	2.0	4.0	17.0	28.0	11.0	2.0	69.0	5.0
OTU_568	8.0	7.0	41.0	7.0	10.0	45.0	7.0	17.0	0.0	0.0	1.0	1.0	4.0	6.0	0.0	0.0	0.0	8.0	0.0	0.0	35.0	0.0	0.0	0.0	1.0	3.0	1.0	10.0	0.0	30.0
OTU_1008	3.0	0.0	0.0	0.0	2.0	1.0	23.0	17.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	30.0	0.0	0.0	0.0
OTU_744	26.0	5.0	37.0	2.0	3.0	17.0	0.0	6.0	1.0	0.0	3.0	2.0	33.0	7.0	0.0	71.0	0.0	61.0	3.0	0.0	246.0	150.0	52.0	0.0	0.0	3.0	17.0	0.0	3.0	0.0
OTU_305	8.0	38.0	10.0	35.0	10.0	6.0	3.0	5.0	47.0	20.0	19.0	103.0	1.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	15.0	4.0	0.0	0.0	294.0	521.0	304.0	51.0	107.0	808.0
OTU_675	29.0	143.0	79.0	71.0	79.0	77.0	14.0	0.0	52.0	60.0	9.0	56.0	54.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	17.0	0.0	0.0	0.0	32.0	32.0	10.0	0.0	1.0	24.0
OTU_158	2.0	20.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
OTU_2183	15.0	26.0	143.0	0.0	5.0	18.0	21.0	15.0	33.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	11.0	4.0	0.0	0.0
OTU_244	64.0	338.0	163.0	95.0	141.0	51.0	1.0	0.0	3.0	60.0	2.0	4.0	26.0	76.0	8.0	1.0	7.0	49.0	0.0	0.0	10.0	0.0	37.0	23.0	283.0	1238.0	27.0	431.0	1639.0	239.0
OTU_374	60.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0
