sample_code,date_collected,site_name,sample_location,cultivar,rootstock,replicate,orchard_block_number,year_planted,year_planted,NA,pH,lime_index,P_ppm,K_ppm,Ca_ppm,Mg_ppm,NO3-N_ppm,NH4-N_ppm,OM_percent,sand_percent,silt_percent,clay_percent,soil_type,Lesion,Dagger,Ring,Pin,Stunt,Spiral,Tylenchs,Aphelenchs,Dorylaims,Monochs,BacterialFeeders,MycorrhizalFungi,Oligochaetes
C01,5/22/17,Clarksville,RootZone,SchlectSpur,Emla26,1,NA,2007,actual,NA,6.8,NA,76,277,1105,207,3,5.3,2.8,42.3,39.6,18.1,Loam,0,12,0,4,0,0,60,30,0,10,1240,96,8
C02,5/22/17,Clarksville,RootZone,SchlectSpur,Emla26,2,NA,2007,actual,NA,7.3,NA,54,207,1251,232,10.4,3.6,2.3,46.3,36.7,17,Loam,0,8,0,2,0,0,36,16,8,12,672,16,0
C03,5/22/17,Clarksville,RootZone,SchlectSpur,Emla26,3,NA,2007,actual,NA,7.6,NA,50,232,1362,241,10.1,4.5,2.3,46.4,36.6,17,Loam,4,20,0,0,0,0,100,40,10,10,2960,220,12
C04,5/22/17,Clarksville,RootZone,SchlectSpur,Emla26,4,NA,2007,actual,NA,6.2,71,108,326,960,183,12.4,6.6,2.8,35.4,47.6,17,Loam,4,0,0,8,0,0,180,20,10,0,1380,12,8
C05,5/22/17,Clarksville,RootZone,SchlectSpur,Emla26,5,NA,2007,actual,NA,6.2,71,86,321,963,204,10,6.8,2.7,39.4,45.6,15,Loam,36,0,0,0,0,0,60,40,0,0,3040,60,24
C06,5/22/17,Clarksville,RootZone,SchlectSpur,Emla26,6,NA,2007,actual,NA,6.2,71,96,292,860,169,7.7,4.8,2.3,39.4,45.6,15,Loam,60,4,0,0,0,0,240,40,60,0,2100,28,0
C07,5/22/17,Clarksville,RootZone,DandeeRed,M9,1,NA,2007,actual,NA,6.6,72,108,252,1042,202,1,3.9,3,43.4,41.6,15,Loam,4,4,0,0,6,0,40,260,0,0,1520,72,0
C08,5/22/17,Clarksville,RootZone,DandeeRed,M9,2,NA,2007,actual,NA,6.6,72,84,307,950,192,4.9,4.3,2.3,41.4,43.6,15,Loam,4,4,0,0,0,0,24,8,16,8,928,16,40
C09,5/22/17,Clarksville,RootZone,DandeeRed,M9,3,NA,2007,actual,NA,6.4,71,84,327,827,199,9.8,5,2.3,45.4,39.6,15,Loam,12,8,0,14,0,0,20,40,20,10,1140,32,32
C10,5/22/17,Clarksville,RootZone,DandeeRed,M9,4,NA,2007,actual,NA,6.3,71,64,299,785,137,0.4,4,2.8,43.4,41.6,15,Loam,0,8,0,0,0,0,40,20,20,0,3560,24,44
C11,5/22/17,Clarksville,RootZone,DandeeRed,M9,5,NA,2007,actual,NA,6.3,70,74,278,759,130,5.8,5,2.7,44.4,41.6,14,Loam,4,150,0,8,0,0,8,16,4,32,472,40,0
C12,5/22/17,Clarksville,RootZone,DandeeRed,M9,6,NA,2007,actual,NA,6.3,71,71,325,737,130,0.4,4.1,2.2,45.4,40.6,14,Loam,24,24,0,0,0,0,4,16,8,28,1072,20,32
C13,5/22/17,Clarksville,RootZone,Honeycrisp,Nic29,1,NA,2006,actual,NA,6.2,71,96,273,808,139,1.5,3.9,2,45.4,41.6,13,Loam,0,4,0,0,0,0,40,50,0,10,2160,20,0
C14,5/22/17,Clarksville,RootZone,Honeycrisp,Nic29,2,NA,2006,actual,NA,6.3,72,93,233,859,154,12.1,5,2.2,45.4,41.6,13,Loam,8,4,4,0,0,0,4,36,0,0,712,20,4
C15,5/22/17,Clarksville,RootZone,Honeycrisp,Nic29,3,NA,2006,actual,NA,6.3,70,86,302,856,155,0.3,4.4,2.5,41.4,43.6,15,Loam,0,8,0,18,0,0,20,120,0,0,1900,12,8
C16,5/22/17,Clarksville,RootZone,Honeycrisp,Nic29,4,NA,2006,actual,NA,6.1,71,86,262,800,120,0.2,4.4,2.6,46.4,40.6,13,Loam,4,10,0,0,0,0,10,40,0,0,2060,20,20
C17,5/22/17,Clarksville,RootZone,Honeycrisp,Nic29,5,NA,2006,actual,NA,6.6,71,90,265,905,139,6.1,5.9,2.5,47.4,38.7,13.9,Loam,4,2,0,0,0,0,40,50,20,20,1100,32,68
C18,5/22/17,Clarksville,RootZone,Honeycrisp,Nic29,6,NA,2006,actual,NA,6.1,70,86,265,883,132,6,6.9,2.8,43.4,41.7,14.9,Loam,0,6,0,0,0,0,20,120,0,0,1320,8,84
C19,5/22/17,Clarksville,RootZone,GibsonGold,Bud9,1,NA,2003,actual,NA,6.5,71,100,237,933,154,0.3,3.8,2.2,45.2,38.6,16.2,Loam,36,0,0,0,0,0,40,20,0,0,1380,28,0
C20,5/22/17,Clarksville,RootZone,GibsonGold,Bud9,2,NA,2003,actual,NA,6.4,72,111,213,942,147,3,4.7,2,44.3,41.6,14.1,Loam,0,0,360,0,80,0,80,20,20,0,2280,200,0
C21,5/22/17,Clarksville,RootZone,GibsonGold,Bud9,3,NA,2003,actual,NA,6.4,71,96,208,931,140,8.3,5.2,2.3,47.3,39.6,13.1,Loam,20,22,10,0,0,0,20,40,10,0,1980,192,8
