OTU ID	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	taxonomy
OTU_dn_2672	6467.0	1656.0	3540.0	6710.0	4724.0	3377.0	1404.0	1668.0	498.0	352.0	1851.0	1809.0	2900.0	3109.0	5744.0	4623.0	3160.0	3852.0	2191.0	1148.0	1534.0	1446.0	3147.0	4695.0	460.0	1347.0	26.0	15.0	398.0	243.0	4464.0	3083.0	5098.0	3832.0	1695.0	1326.0	3915.0	8576.0	960.0	3812.0	468.0	1065.0	2110.0	1056.0	792.0	1850.0	2164.0	447.0	351.0	815.0	376.0	1221.0	1993.0	3492.0	112.0	1991.0	2046.0	2047.0	2596.0	155.0	2898.0	4785.0	847.0	1993.0	730.0	8576.0	1457.0	4943.0	954.0	476.0	2167.0	4207.0	1579.0	3905.0	1515.0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
SH013981.07FU_HG328102_reps_singleton	28.0	17.0	105.0	2.0	54.0	61.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	16.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.0	13.0	59.0	3.0	5.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	10.0	25.0	3.0	29.0	10.0	31.0	81.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales
OTU_dn_1069	122.0	34.0	96.0	188.0	99.0	74.0	44.0	34.0	17.0	9.0	38.0	58.0	54.0	57.0	154.0	90.0	54.0	80.0	64.0	23.0	27.0	32.0	46.0	74.0	16.0	19.0	0.0	1.0	6.0	32.0	123.0	34.0	87.0	133.0	42.0	34.0	74.0	192.0	24.0	81.0	14.0	23.0	50.0	17.0	19.0	60.0	102.0	12.0	6.0	14.0	11.0	25.0	42.0	65.0	1.0	48.0	39.0	90.0	66.0	4.0	63.0	68.0	14.0	43.0	19.0	138.0	35.0	105.0	31.0	13.0	62.0	76.0	30.0	70.0	23.0	k__Fungi
SH006482.07FU_FJ652043_reps	7.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	113.0	0.0	4.0	23.0	0.0	0.0	30.0	3.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	8.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Physalacriaceae; g__Armillaria
OTU_dn_70	133.0	52.0	344.0	38.0	151.0	149.0	12.0	6.0	3.0	0.0	11.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	313.0	0.0	0.0	218.0	26.0	20.0	3.0	98.0	19.0	0.0	34.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.0	50.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_capitata
OTU_dn_179	80.0	149.0	37.0	22.0	2.0	1.0	1.0	10.0	4.0	0.0	0.0	2.0	37.0	1.0	0.0	83.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	23.0	43.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	0.0	58.0	50.0	5.0	3.0	29.0	0.0	1.0	1.0	15.0	191.0	24.0	93.0	0.0	2.0	48.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	k__Fungi; p__Ascomycota
SH020292.07FU_HG935117_reps	492.0	981.0	1089.0	205.0	216.0	490.0	363.0	663.0	422.0	201.0	600.0	372.0	436.0	345.0	439.0	284.0	374.0	141.0	168.0	219.0	169.0	337.0	229.0	245.0	243.0	230.0	52.0	50.0	371.0	7.0	474.0	643.0	55.0	225.0	168.0	166.0	180.0	826.0	383.0	709.0	339.0	621.0	723.0	541.0	269.0	3022.0	213.0	292.0	88.0	1474.0	1039.0	1547.0	558.0	305.0	363.0	520.0	401.0	91.0	400.0	209.0	228.0	391.0	288.0	569.0	215.0	119.0	167.0	584.0	364.0	150.0	664.0	1168.0	657.0	2457.0	915.0	k__Fungi; p__Ascomycota
SH027218.07FU_JX975863_reps	263.0	298.0	54.0	86.0	337.0	50.0	258.0	89.0	181.0	920.0	136.0	202.0	126.0	219.0	36.0	39.0	57.0	43.0	17.0	466.0	74.0	0.0	135.0	186.0	534.0	630.0	1376.0	1186.0	1180.0	137.0	733.0	410.0	100.0	312.0	159.0	748.0	189.0	876.0	2883.0	1566.0	2049.0	658.0	149.0	273.0	324.0	200.0	103.0	1399.0	350.0	918.0	521.0	934.0	675.0	179.0	1299.0	807.0	1652.0	1.0	60.0	2154.0	735.0	204.0	275.0	583.0	1341.0	246.0	214.0	319.0	1141.0	724.0	445.0	52.0	1220.0	818.0	2182.0	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella
OTU_dn_259	90.0	0.0	0.0	1.0	10.0	0.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	135.0	145.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
OTU_dn_37	266.0	934.0	515.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1113.0	0.0	0.0	2.0	0.0	443.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Geopora; s__Geopora_nicaeensis
